task,wh_name,logic_adjusted_new_step_duration_minutes
Verify Order,BEYONDRX_OH,11.16
Verify Order,OHIO,9.39
Verify Fill,OHIO,9.35
Verify Fill,OHIO,8.31
Verify Batch,BEYONDRX_OH,5.51
Verify Batch,BEYONDRX_OH,9.61
Verify Batch,OHIO,11.14
Verify Order,BEYONDRX_OH,7.43
Verify Fill,OHIO,6.45
Verify Order,OHIO,10.81
Verify Order,BEYONDRX_OH,10.46
Verify Fill,OHIO,8.54
Verify Fill,BEYONDRX_OH,8.8
Verify Fill,OHIO,9.86
Verify Fill,BEYONDRX_OH,7.97
Verify Batch,OHIO,4.38
Verify Batch,BEYONDRX_AZ,9.07
Verify Fill,BEYONDRX_AZ,12.57
Verify Fill,OHIO,7.8
Verify Batch,BEYONDRX_AZ,5.75
Verify Batch,OHIO,19.03
Verify Fill,BEYONDRX_OH,6.71
Verify Fill,BEYONDRX_AZ,12.49
Verify Fill,OHIO,7.51
Verify Batch,OHIO,3.75
Verify Batch,OHIO,5.49
Verify Fill,OHIO,13.67
Verify Batch,BEYONDRX_OH,12.52
Verify Order,BEYONDRX_OH,11.35
Verify Order,BEYONDRX_OH,8.05
Verify Batch,OHIO,8.14
Verify Fill,OHIO,10.37
Verify Batch,BEYONDRX_OH,5.84
Verify Order,BEYONDRX_OH,11.28
Verify Batch,OHIO,7.07
Verify Batch,OHIO,6.26
Verify Order,OHIO,4.2
Verify Fill,BEYONDRX_OH,6.77
Verify Order,BEYONDRX_AZ,13.12
Verify Batch,BEYONDRX_OH,4.14
Verify Order,OHIO,14.58
Verify Batch,BEYONDRX_AZ,19.07
Verify Order,BEYONDRX_AZ,7.93
Verify Order,BEYONDRX_OH,9.22
Verify Fill,BEYONDRX_OH,3.91
Verify Order,OHIO,10.34
Verify Order,OHIO,5.52
Verify Fill,BEYONDRX_OH,11.96
Verify Batch,BEYONDRX_AZ,11.35
Verify Batch,BEYONDRX_OH,12.21
Verify Fill,BEYONDRX_OH,6.24
Verify Batch,OHIO,12.68
Verify Batch,OHIO,10.44
Verify Batch,BEYONDRX_OH,7.06
Verify Fill,OHIO,4.87
Verify Order,BEYONDRX_AZ,6.09
Verify Fill,BEYONDRX_AZ,7.22
Verify Fill,OHIO,3.67
Verify Fill,BEYONDRX_OH,7.08
Verify Order,OHIO,11.46
Verify Order,OHIO,7.33
Verify Fill,OHIO,4.43
Verify Fill,OHIO,7.41
Verify Order,BEYONDRX_OH,6.05
Verify Batch,BEYONDRX_OH,9.91
Verify Batch,BEYONDRX_AZ,4.39
Verify Order,BEYONDRX_AZ,8.89
Verify Order,OHIO,7.2
Verify Order,OHIO,15.02
Verify Batch,BEYONDRX_AZ,13.1
Verify Order,BEYONDRX_AZ,11.0
Verify Batch,OHIO,9.52
Verify Batch,BEYONDRX_AZ,11.57
Verify Order,BEYONDRX_AZ,6.18
Verify Order,BEYONDRX_OH,11.31
Verify Order,OHIO,5.17
Verify Order,BEYONDRX_OH,5.88
Verify Order,BEYONDRX_AZ,3.53
Verify Order,BEYONDRX_AZ,10.04
Verify Batch,BEYONDRX_OH,12.07
Verify Batch,BEYONDRX_OH,10.35
Verify Fill,BEYONDRX_OH,6.29
Verify Order,OHIO,8.36
Verify Order,BEYONDRX_OH,5.68
Verify Fill,OHIO,13.53
Verify Order,BEYONDRX_AZ,5.91
Verify Fill,BEYONDRX_AZ,12.03
Verify Batch,OHIO,7.81
Verify Batch,BEYONDRX_AZ,10.89
Verify Fill,BEYONDRX_AZ,5.76
Verify Order,BEYONDRX_AZ,9.39
Verify Order,BEYONDRX_AZ,12.78
Verify Fill,BEYONDRX_AZ,9.91
Verify Fill,BEYONDRX_OH,9.11
Verify Batch,BEYONDRX_AZ,7.26
Verify Order,BEYONDRX_OH,11.75
Verify Order,BEYONDRX_AZ,9.97
Verify Batch,BEYONDRX_AZ,6.08
Verify Fill,OHIO,6.09
Verify Order,OHIO,16.04
Verify Order,BEYONDRX_OH,7.72
Verify Fill,OHIO,9.84
Verify Fill,BEYONDRX_OH,13.22
Verify Order,OHIO,5.86
Verify Fill,OHIO,11.55
Verify Fill,BEYONDRX_OH,10.77
Verify Order,OHIO,11.7
Verify Fill,BEYONDRX_OH,13.19
Verify Batch,BEYONDRX_OH,16.9
Verify Order,OHIO,6.7
Verify Fill,BEYONDRX_AZ,10.88
Verify Fill,OHIO,7.03
Verify Batch,BEYONDRX_AZ,1.7
Verify Order,BEYONDRX_OH,7.11
Verify Fill,BEYONDRX_AZ,11.39
Verify Fill,BEYONDRX_OH,3.92
Verify Order,BEYONDRX_OH,8.76
Verify Order,BEYONDRX_AZ,5.59
Verify Order,BEYONDRX_OH,14.23
Verify Batch,BEYONDRX_AZ,10.96
Verify Order,BEYONDRX_OH,5.97
Verify Batch,OHIO,5.16
Verify Fill,BEYONDRX_OH,4.6
Verify Order,BEYONDRX_AZ,5.61
Verify Fill,BEYONDRX_AZ,12.2
Verify Batch,OHIO,8.62
Verify Batch,BEYONDRX_OH,8.34
Verify Batch,BEYONDRX_AZ,8.65
Verify Order,OHIO,8.97
Verify Order,BEYONDRX_OH,8.95
Verify Order,OHIO,13.27
Verify Order,BEYONDRX_OH,5.04
Verify Batch,OHIO,7.29
Verify Order,BEYONDRX_AZ,6.66
Verify Batch,BEYONDRX_AZ,8.58
Verify Order,OHIO,6.03
Verify Batch,OHIO,4.98
Verify Batch,OHIO,4.95
Verify Order,BEYONDRX_AZ,14.25
Verify Fill,OHIO,11.67
Verify Order,OHIO,12.64
Verify Order,OHIO,8.49
Verify Fill,BEYONDRX_AZ,12.74
Verify Order,OHIO,5.84
Verify Batch,BEYONDRX_OH,5.67
Verify Fill,OHIO,6.88
Verify Batch,BEYONDRX_OH,12.83
Verify Order,BEYONDRX_OH,8.62
Verify Order,BEYONDRX_OH,9.51
Verify Fill,BEYONDRX_AZ,5.79
Verify Order,OHIO,10.3
Verify Fill,BEYONDRX_OH,4.28
Verify Order,OHIO,9.14
Verify Fill,BEYONDRX_AZ,3.89
Verify Fill,BEYONDRX_OH,20.86
Verify Order,OHIO,6.23
Verify Batch,OHIO,8.69
Verify Fill,OHIO,5.78
Verify Batch,BEYONDRX_AZ,10.48
Verify Order,OHIO,13.51
Verify Batch,OHIO,5.31
Verify Order,BEYONDRX_OH,14.02
Verify Batch,OHIO,12.04
Verify Batch,BEYONDRX_OH,5.74
Verify Batch,BEYONDRX_OH,15.95
Verify Batch,OHIO,10.39
Verify Order,OHIO,5.84
Verify Order,OHIO,7.89
Verify Fill,OHIO,4.74
Verify Batch,BEYONDRX_OH,2.64
Verify Order,BEYONDRX_AZ,8.02
Verify Batch,OHIO,5.92
Verify Order,BEYONDRX_AZ,12.96
Verify Batch,BEYONDRX_OH,6.91
Verify Order,OHIO,8.64
Verify Order,BEYONDRX_AZ,6.48
Verify Order,OHIO,10.53
Verify Batch,BEYONDRX_OH,4.44
Verify Batch,OHIO,21.94
Verify Fill,BEYONDRX_OH,8.64
Verify Fill,OHIO,7.67
Verify Order,BEYONDRX_OH,3.83
Verify Order,OHIO,11.53
Verify Fill,BEYONDRX_OH,5.78
Verify Order,BEYONDRX_OH,10.6
Verify Fill,OHIO,12.46
Verify Batch,BEYONDRX_OH,6.0
Verify Order,BEYONDRX_AZ,16.0
Verify Batch,OHIO,8.58
Verify Batch,BEYONDRX_OH,8.65
Verify Batch,BEYONDRX_OH,12.81
Verify Batch,BEYONDRX_OH,7.97
Verify Fill,BEYONDRX_OH,6.72
Verify Batch,OHIO,16.74
Verify Fill,BEYONDRX_AZ,14.51
Verify Batch,OHIO,6.69
Verify Fill,BEYONDRX_AZ,8.46
Verify Order,BEYONDRX_AZ,4.81
Verify Order,BEYONDRX_AZ,12.83
Verify Fill,OHIO,11.3
Verify Fill,OHIO,6.7
Verify Batch,BEYONDRX_OH,7.11
Verify Batch,BEYONDRX_AZ,7.72
Verify Batch,BEYONDRX_OH,11.21
Verify Fill,BEYONDRX_OH,11.65
Verify Fill,BEYONDRX_OH,12.53
Verify Fill,BEYONDRX_AZ,5.89
Verify Order,BEYONDRX_OH,6.26
Verify Fill,BEYONDRX_AZ,7.43
Verify Batch,BEYONDRX_OH,11.39
Verify Batch,BEYONDRX_OH,8.14
Verify Order,BEYONDRX_AZ,4.83
Verify Batch,BEYONDRX_AZ,5.77
Verify Order,BEYONDRX_OH,7.18
Verify Fill,BEYONDRX_AZ,9.46
Verify Batch,OHIO,5.06
Verify Batch,OHIO,13.9
Verify Order,OHIO,12.84
Verify Batch,OHIO,5.18
Verify Batch,OHIO,3.22
Verify Fill,OHIO,13.99
Verify Batch,BEYONDRX_OH,11.08
Verify Fill,BEYONDRX_AZ,11.32
Verify Batch,BEYONDRX_OH,13.64
Verify Batch,OHIO,8.66
Verify Order,BEYONDRX_OH,16.82
Verify Order,OHIO,8.08
Verify Fill,OHIO,17.39
Verify Order,BEYONDRX_AZ,11.18
Verify Batch,OHIO,6.97
Verify Fill,BEYONDRX_AZ,4.11
Verify Order,OHIO,3.82
Verify Batch,BEYONDRX_AZ,16.14
Verify Fill,BEYONDRX_OH,6.86
Verify Batch,OHIO,6.87
Verify Order,BEYONDRX_OH,15.38
Verify Fill,BEYONDRX_OH,9.06
Verify Order,BEYONDRX_AZ,9.9
Verify Batch,OHIO,4.06
Verify Order,OHIO,6.45
Verify Order,BEYONDRX_OH,16.47
Verify Fill,BEYONDRX_AZ,4.65
Verify Order,BEYONDRX_AZ,9.9
Verify Order,OHIO,6.32
Verify Fill,OHIO,8.62
Verify Batch,OHIO,1.6
Verify Fill,BEYONDRX_AZ,5.43
Verify Order,OHIO,6.86
Verify Fill,OHIO,8.87
Verify Order,BEYONDRX_AZ,12.4
Verify Batch,BEYONDRX_OH,9.32
Verify Fill,BEYONDRX_AZ,6.26
Verify Fill,BEYONDRX_AZ,7.94
Verify Fill,BEYONDRX_AZ,11.21
Verify Batch,OHIO,12.52
Verify Batch,BEYONDRX_OH,12.38
Verify Batch,BEYONDRX_AZ,10.87
Verify Batch,OHIO,6.33
Verify Fill,BEYONDRX_AZ,6.44
Verify Order,BEYONDRX_OH,16.99
Verify Fill,BEYONDRX_AZ,6.49
Verify Fill,BEYONDRX_AZ,5.38
Verify Fill,BEYONDRX_AZ,11.68
Verify Fill,BEYONDRX_OH,10.24
Verify Fill,BEYONDRX_AZ,16.49
Verify Batch,BEYONDRX_OH,3.96
Verify Order,BEYONDRX_AZ,10.42
Verify Order,OHIO,7.56
Verify Fill,BEYONDRX_AZ,8.77
Verify Fill,OHIO,8.09
Verify Order,BEYONDRX_OH,11.63
Verify Fill,OHIO,3.9
Verify Order,BEYONDRX_AZ,8.4
Verify Batch,OHIO,4.52
Verify Batch,BEYONDRX_OH,10.01
Verify Batch,OHIO,4.76
Verify Fill,BEYONDRX_OH,8.95
Verify Batch,BEYONDRX_AZ,6.25
Verify Batch,BEYONDRX_AZ,9.98
Verify Fill,BEYONDRX_OH,4.59
Verify Order,OHIO,6.77
Verify Order,BEYONDRX_OH,3.59
Verify Batch,BEYONDRX_OH,11.21
Verify Order,OHIO,8.93
Verify Order,BEYONDRX_AZ,8.05
Verify Fill,BEYONDRX_AZ,6.87
Verify Batch,OHIO,10.88
Verify Fill,BEYONDRX_AZ,12.7
Verify Order,OHIO,9.42
Verify Order,BEYONDRX_AZ,7.55
Verify Fill,BEYONDRX_AZ,5.59
Verify Batch,OHIO,9.44
Verify Order,BEYONDRX_OH,5.24
Verify Batch,OHIO,10.99
Verify Fill,BEYONDRX_OH,14.37
Verify Order,BEYONDRX_AZ,5.64
Verify Fill,OHIO,9.5
Verify Fill,BEYONDRX_AZ,8.54
Verify Batch,BEYONDRX_AZ,7.41
Verify Fill,BEYONDRX_AZ,4.39
Verify Order,BEYONDRX_OH,8.75
Verify Order,OHIO,8.13
Verify Fill,BEYONDRX_OH,10.98
Verify Order,OHIO,8.52
Verify Fill,BEYONDRX_AZ,6.79
Verify Batch,OHIO,4.7
Verify Batch,BEYONDRX_AZ,6.17
Verify Fill,BEYONDRX_OH,5.27
Verify Batch,OHIO,10.5
Verify Fill,BEYONDRX_OH,8.81
Verify Order,BEYONDRX_AZ,14.89
Verify Order,OHIO,3.88
Verify Order,BEYONDRX_AZ,6.59
